ID	HN-B	HN-Ca	HN-CHL	HN-Cu	HN-DW	HN-Fe	HN-FW	HN-K	HN-LA	HN-Mg	HN-Mn	HN-N	HN-P	HN-S	HN-Zn	LN-B	LN-Ca	LN-CHL	LN-Cu	LN-DW	LN-Fe	LN-FW	LN-K	LN-LA	LN-Mg	LN-Mn	LN-N	LN-P	LN-S	LN-Zn
VA102	14.38343235	0.430539285	403.7922012	15.05165508	7.463576062	105.695258	35.87516631	2.700287449	1306.065541	0.244991775	86.9553359	2.869228078	0.296311872	0.189950628	23.14203451	16.66880066	0.376396761	309.4587781	9.083493628	7.510519007	81.36417305	32.55801723	2.487640712	1293.635901	0.199751848	55.51202482	2.164104842	0.279541313	0.175502317	19.55229047
Va14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Va17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Va22	17.65743373	0.404657318	454.6807898	13.27350456	8.259537986	110.9926054	40.32648214	2.555753731	1509.38256	0.173311626	56.94419233	2.850621782	0.285175905	0.176770802	20.33413429	18.16760942	0.311254501	310.420284	NA	6.691383051	85.98612924	30.16977686	2.319808796	1270.378172	0.135047177	NA	2.038256377	0.310856807	0.14953818	17.66144005
Va26	15.28743905	0.42592308	429.5757528	11.20593532	9.234408782	104.5378649	30.87698603	2.384181673	1244.124968	0.231116375	66.20218775	2.812913017	0.270888126	0.183040162	26.5317865	16.66880066	0.334245887	304.3598829	6.92570814	6.165961183	74.79613005	23.50158596	2.256871828	1054.806422	0.18357568	38.02222039	2.045247959	0.281950197	0.156029214	16.90509988
Va35	NA	0.385245842	436.4534227	15.40728518	7.909022644	105.4833641	35.43284947	2.430072236	1262.650629	0.212735708	62.26262284	2.910161931	0.29352788	0.195222558	25.54880612	13.9709449	0.330413989	313.5087576	9.083493628	6.309554737	75.52591261	26.21501865	2.37225627	1089.058209	0.171443554	43.8521552	2.042917431	0.281950197	0.178747834	20.30863064
Va59	17.2936558	0.407892564	436.4842642	12.20661424	6.795406191	118.1969979	29.19216099	2.44892446	1074.786109	0.244991775	100.2514122	2.980865857	0.301879855	0.192586593	23.54316311	14.87023016	0.36106917	338.7410043	NA	6.130062795	90.60808543	26.12410467	2.721906093	1082.455748	0.203795889	NA	2.345885959	0.315674575	0.191729903	23.33399132
Va85	11.83698684	0.385245842	397.8089369	9.717203514	7.171479944	101.8811678	31.19464995	2.100158313	1272.75344	0.169727618	67.20116545	2.714795818	0.265687964	0.168862907	25.94993472	16.36903891	0.284431217	317.121689	6.92570814	5.614431396	84.76982498	22.19382329	2.445682733	1074.72577	0.131003135	52.59705741	2.049909013	0.262679123	0.159274731	17.66144005
Va99	16.20232201	0.430539285	396.3285416	10.78409383	8.365422829	104.6357885	36.82815805	2.018465342	1472.338919	0.158975596	69.10060492	2.673861966	0.307447839	0.174134837	25.14767752	13.3714214	0.322750194	280.7592827	7.285339054	6.544526007	75.28265176	25.68701821	2.068060924	1209.296074	0.11887101	47.18354652	1.933382656	0.298812386	0.143047145	18.03961013
VaW6	17.65743373	0.333481907	419.3055104	11.85098414	7.492785674	88.10806447	28.73778096	2.348379265	1236.1831	0.191231663	NA	2.863646189	0.346423722	0.187314663	28.75783494	14.27070665	0.284431217	266.569786	6.566077225	5.346825227	71.63373898	20.96648454	2.155473379	1056.872109	0.159311429	45.51785086	1.984654253	0.342172301	0.169011283	NA
W117Ht	14.48968044	0.397411289	439.6644143	12.88345183	6.689668823	98.35397713	24.85806759	2.196551996	1053.756382	0.152722979	66.60878084	2.794890353	0.30731557	0.1825077	36.68774365	14.99713631	0.47976978	309.5294924	6.461278145	4.822385174	75.24637944	18.91340013	2.360177091	862.6316373	0.17473774	104.1526343	2.124488301	0.300787671	0.1569361	17.30343299
W153R	12.5645427	0.327011415	403.668835	9.36157341	4.396566816	104.8476824	NA	2.279254443	845.6226309	0.173311626	46.30733132	2.984587116	0.299095864	0.176770802	21.13639149	12.47213615	0.315086399	360.0980907	6.92570814	3.936997606	92.31091139	14.34025394	2.106522404	679.1834474	0.159311429	55.92844873	2.271309091	0.325310112	0.175502317	NA
W182B	19.47632339	0.459656499	362.2177664	12.91787445	5.207133545	102.9406373	NA	2.464634647	1019.823978	0.209151701	121.5251342	2.848761152	0.299095864	0.229490105	NA	15.76951541	0.384060556	229.8286047	7.285339054	4.446102025	70.41743472	16.36483838	2.288340312	836.8936957	0.171443554	107.5650142	2.007959524	0.303630154	0.201466454	NA
Wf9	15.83854408	0.41112781	392.5658702	16.8298056	8.233979576	109.5093481	39.05582649	2.452066498	1485.654981	0.216319716	86.57544801	2.858064301	0.296311872	0.179406767	30.76347796	15.76951541	0.284431217	266.7446053	8.364231798	5.836348707	71.39047812	23.20786386	2.281347316	1122.361554	0.167399512	NA	2.026603741	0.296403502	0.143047145	NA
Yu796	10.74565304	0.39495158	419.7681339	14.34039487	6.499658871	107.602303	26.27689091	2.247834069	1172.608286	0.298751887	75.938587	2.917604449	0.290743889	0.200494489	27.95557774	13.3714214	0.399388147	326.8824311	9.443124542	5.803713808	78.44504283	22.72182373	2.326801793	1075.905673	0.195707806	62.59123137	2.208384858	0.284359081	0.181993351	24.84667166
