Mean,SD,par,trait
0.014786,0.005094,ResVar,asv_001772
0.009588,0.005132,GenVar,asv_001772
0.391888,0.203972,hsq,asv_001772
0.001766,0.001711,Pi,asv_001806
1321.947754,1281.580078,NnzSnp,asv_001806
0,0,SigmaSq,asv_001806
-0.179601,0.800772,S,asv_001806
5.9e-05,1.2e-05,ResVar,asv_001806
8e-06,1.1e-05,GenVar,asv_001806
0.117091,0.161793,hsq,asv_001806
0.001389,0.001349,Pi,asv_001834
1039.781494,1010.503845,NnzSnp,asv_001834
0,0,SigmaSq,asv_001834
0.205653,0.941731,S,asv_001834
0.000538,8.2e-05,ResVar,asv_001834
3.2e-05,6.3e-05,GenVar,asv_001834
0.056649,0.109484,hsq,asv_001834
0.00085,0.001317,Pi,asv_001875
635.691772,986.639282,NnzSnp,asv_001875
0,1e-06,SigmaSq,asv_001875
-1.32041,1.042297,S,asv_001875
0.000174,7.5e-05,ResVar,asv_001875
0.000126,7.6e-05,GenVar,asv_001875
0.418172,0.246555,hsq,asv_001875
0.000188,0.000698,Pi,asv_001888
140.113754,522.46698,NnzSnp,asv_001888
2e-06,2e-06,SigmaSq,asv_001888
-2.366946,0.658302,S,asv_001888
0.000925,0.001983,ResVar,asv_001888
0.008767,0.002001,GenVar,asv_001888
0.904302,0.204365,hsq,asv_001888
0.001476,0.001441,Pi,asv_001948
1104.697021,1078.561523,NnzSnp,asv_001948
0,1e-06,SigmaSq,asv_001948
-0.062415,0.942386,S,asv_001948
0.001432,0.000288,ResVar,asv_001948
0.000142,0.000249,GenVar,asv_001948
0.090392,0.157468,hsq,asv_001948
0.000311,0.001044,Pi,asv_001978
231.890152,781.322815,NnzSnp,asv_001978
2e-06,8e-06,SigmaSq,asv_001978
-2.178849,0.895913,S,asv_001978
0.000526,0.001251,ResVar,asv_001978
0.004029,0.00126,GenVar,asv_001978
0.883842,0.275313,hsq,asv_001978
0.002068,0.001781,Pi,asv_001993
1548.415039,1333.550293,NnzSnp,asv_001993
2e-06,5e-06,SigmaSq,asv_001993
0.090549,0.770318,S,asv_001993
0.004704,0.000837,ResVar,asv_001993
0.000557,0.000699,GenVar,asv_001993
0.105804,0.131442,hsq,asv_001993
0.00281,0.00204,Pi,asv_002018
2104.675781,1528.445068,NnzSnp,asv_002018
1.4e-05,3.5e-05,SigmaSq,asv_002018
-0.50867,0.701093,S,asv_002018
0.018582,0.008421,ResVar,asv_002018
0.009711,0.008295,GenVar,asv_002018
0.342628,0.289328,hsq,asv_002018
0.001177,0.001326,Pi,asv_002138
880.984924,992.908691,NnzSnp,asv_002138
0,0,SigmaSq,asv_002138
-0.045268,1.03681,S,asv_002138
0.000416,7.9e-05,ResVar,asv_002138
2.7e-05,6.7e-05,GenVar,asv_002138
0.059875,0.150316,hsq,asv_002138
0.001153,0.001373,Pi,asv_002172
863.123291,1028.517944,NnzSnp,asv_002172
7e-06,1.4e-05,SigmaSq,asv_002172
-0.419259,1.271082,S,asv_002172
0.010129,0.005249,ResVar,asv_002172
0.003702,0.005159,GenVar,asv_002172
0.266966,0.371086,hsq,asv_002172
0.001315,0.001311,Pi,asv_002205
984.588684,981.456726,NnzSnp,asv_002205
0,0,SigmaSq,asv_002205
0.039653,0.81216,S,asv_002205
0.000117,2e-05,ResVar,asv_002205
1.1e-05,1.7e-05,GenVar,asv_002205
0.086554,0.128273,hsq,asv_002205
0.001186,0.00157,Pi,asv_002353
887.559204,1175.124023,NnzSnp,asv_002353
5e-06,8e-06,SigmaSq,asv_002353
-0.685198,1.410045,S,asv_002353
0.013424,0.005218,ResVar,asv_002353
0.004611,0.005095,GenVar,asv_002353
0.25502,0.279371,hsq,asv_002353
0.00135,0.001321,Pi,asv_002354
1010.262878,989.344299,NnzSnp,asv_002354
0,0,SigmaSq,asv_002354
0.136388,0.967496,S,asv_002354
2e-06,0,ResVar,asv_002354
0,0,GenVar,asv_002354
0.06099,0.128993,hsq,asv_002354
0.002752,0.002069,Pi,asv_002358
2060.89209,1548.966309,NnzSnp,asv_002358
7e-06,1.2e-05,SigmaSq,asv_002358
-0.790258,0.567057,S,asv_002358
0.004492,0.002329,ResVar,asv_002358
0.005544,0.002396,GenVar,asv_002358
0.550687,0.231208,hsq,asv_002358
0.000117,0.000496,Pi,asv_002692
86.726303,371.192169,NnzSnp,asv_002692
6e-06,5e-06,SigmaSq,asv_002692
-2.30767,0.510331,S,asv_002692
0.001695,0.003308,ResVar,asv_002692
0.022216,0.003408,GenVar,asv_002692
0.928818,0.139288,hsq,asv_002692
0.001333,0.001273,Pi,asv_002742
997.438477,953.321777,NnzSnp,asv_002742
5e-06,7e-06,SigmaSq,asv_002742
0.129344,0.874566,S,asv_002742
0.021309,0.003008,ResVar,asv_002742
0.001103,0.002151,GenVar,asv_002742
0.049128,0.094765,hsq,asv_002742
0.001704,0.001651,Pi,asv_002743
1275.691284,1236.888306,NnzSnp,asv_002743
0,1e-06,SigmaSq,asv_002743
-0.016069,0.843059,S,asv_002743
0.001726,0.000301,ResVar,asv_002743
0.000148,0.000247,GenVar,asv_002743
0.079218,0.130526,hsq,asv_002743
0.00249,0.001853,Pi,asv_002780
1865.05957,1387.645996,NnzSnp,asv_002780
2e-06,3e-06,SigmaSq,asv_002780
-0.452086,0.709169,S,asv_002780
0.001527,0.000652,ResVar,asv_002780
0.000827,0.000645,GenVar,asv_002780
0.350549,0.269365,hsq,asv_002780
0.001551,0.001492,Pi,asv_002796
1161.171509,1117.640991,NnzSnp,asv_002796
2e-06,3e-06,SigmaSq,asv_002796
-0.016534,0.861387,S,asv_002796
0.007615,0.001151,ResVar,asv_002796
0.000465,0.000866,GenVar,asv_002796
0.057534,0.106186,hsq,asv_002796
0.000118,0.000414,Pi,asv_002841
87.150826,309.939911,NnzSnp,asv_002841
9e-06,2.1e-05,SigmaSq,asv_002841
-2.309282,0.522603,S,asv_002841
0.008904,0.004515,ResVar,asv_002841
0.013055,0.004667,GenVar,asv_002841
0.593204,0.205099,hsq,asv_002841
0.001601,0.001407,Pi,asv_002995
1198.418945,1053.506348,NnzSnp,asv_002995
0,1e-06,SigmaSq,asv_002995
-0.643786,0.925072,S,asv_002995
0.001036,0.000481,ResVar,asv_002995
0.000516,0.000475,GenVar,asv_002995
0.331949,0.30262,hsq,asv_002995
6.2e-05,0.00019,Pi,asv_003033
45.459427,141.68515,NnzSnp,asv_003033
0,0,SigmaSq,asv_003033
-2.331809,0.418263,S,asv_003033
6e-06,1.1e-05,ResVar,asv_003033
0.000131,1.1e-05,GenVar,asv_003033
0.953027,0.077269,hsq,asv_003033
0.001354,0.001479,Pi,asv_003343
1013.877014,1107.915894,NnzSnp,asv_003343
0,0,SigmaSq,asv_003343
0.225599,0.922027,S,asv_003343
0.000835,0.000111,ResVar,asv_003343
3.1e-05,7.4e-05,GenVar,asv_003343
0.036083,0.084441,hsq,asv_003343
0.001601,0.001604,Pi,asv_004558
1198.483398,1201.015625,NnzSnp,asv_004558
0,0,SigmaSq,asv_004558
-0.075036,0.923235,S,asv_004558
0.000278,5.3e-05,ResVar,asv_004558
2.8e-05,4.5e-05,GenVar,asv_004558
0.091258,0.147169,hsq,asv_004558
0.001123,0.001142,Pi,asv_004714
840.518311,855.325806,NnzSnp,asv_004714
0,0,SigmaSq,asv_004714
0.225955,0.867125,S,asv_004714
0.000991,0.000124,ResVar,asv_004714
4e-05,7.7e-05,GenVar,asv_004714
0.038808,0.073391,hsq,asv_004714
