Mean,SD,par,trait
4.5e-05,6.5e-05,SigmaSq,asv_000272
-0.864042,0.609718,S,asv_000272
0.070346,0.033498,ResVar,asv_000272
0.051831,0.03352,GenVar,asv_000272
0.423015,0.269378,hsq,asv_000272
0.000908,0.001321,Pi,asv_000281
679.346619,989.421692,NnzSnp,asv_000281
5e-06,9e-06,SigmaSq,asv_000281
-1.631102,0.629609,S,asv_000281
0.003075,0.001832,ResVar,asv_000281
0.006992,0.001916,GenVar,asv_000281
0.693582,0.182211,hsq,asv_000281
0.001467,0.001531,Pi,asv_000294
1097.864868,1145.878418,NnzSnp,asv_000294
1e-06,2e-06,SigmaSq,asv_000294
0.174333,0.827027,S,asv_000294
0.003743,0.000464,ResVar,asv_000294
0.000155,0.000279,GenVar,asv_000294
0.039839,0.070937,hsq,asv_000294
0.001457,0.001493,Pi,asv_000311
1090.626709,1118.130615,NnzSnp,asv_000311
0,1e-06,SigmaSq,asv_000311
0.00826,0.891774,S,asv_000311
0.002744,0.000445,ResVar,asv_000311
0.000164,0.000355,GenVar,asv_000311
0.056441,0.120921,hsq,asv_000311
0.003346,0.002161,Pi,asv_000322
2505.448242,1617.861816,NnzSnp,asv_000322
1.2e-05,2e-05,SigmaSq,asv_000322
-0.530538,0.563606,S,asv_000322
0.003667,0.001778,ResVar,asv_000322
0.005973,0.001863,GenVar,asv_000322
0.618292,0.184368,hsq,asv_000322
0.003605,0.002254,Pi,asv_000330
2699.65332,1687.607666,NnzSnp,asv_000330
2.8e-05,4.2e-05,SigmaSq,asv_000330
-0.101328,0.57576,S,asv_000330
0.010153,0.003496,ResVar,asv_000330
0.007822,0.00358,GenVar,asv_000330
0.433444,0.191323,hsq,asv_000330
0.00335,0.002004,Pi,asv_000341
2509.207031,1500.817383,NnzSnp,asv_000341
3e-05,5e-05,SigmaSq,asv_000341
-0.182406,0.534671,S,asv_000341
0.00303,0.001518,ResVar,asv_000341
0.007526,0.001652,GenVar,asv_000341
0.711813,0.145041,hsq,asv_000341
0.002033,0.001713,Pi,asv_000369
1521.637451,1282.529419,NnzSnp,asv_000369
1e-06,2e-06,SigmaSq,asv_000369
-0.246695,0.820517,S,asv_000369
0.003662,0.000886,ResVar,asv_000369
0.000614,0.000814,GenVar,asv_000369
0.143371,0.188188,hsq,asv_000369
0.002174,0.00201,Pi,asv_000396
1627.692383,1506.147949,NnzSnp,asv_000396
1e-06,2e-06,SigmaSq,asv_000396
-0.890959,0.787926,S,asv_000396
0.001708,0.000867,ResVar,asv_000396
0.001118,0.00086,GenVar,asv_000396
0.394873,0.300542,hsq,asv_000396
0.002737,0.00195,Pi,asv_000406
2049.33252,1460.452881,NnzSnp,asv_000406
7e-06,1e-05,SigmaSq,asv_000406
-0.932488,0.626868,S,asv_000406
0.007105,0.004444,ResVar,asv_000406
0.009676,0.004493,GenVar,asv_000406
0.575617,0.262271,hsq,asv_000406
0.003695,0.002315,Pi,asv_000431
2767.446777,1733.496582,NnzSnp,asv_000431
4e-05,5.3e-05,SigmaSq,asv_000431
0.06641,0.549525,S,asv_000431
0.01231,0.003781,ResVar,asv_000431
0.009174,0.003888,GenVar,asv_000431
0.425352,0.172717,hsq,asv_000431
0.001296,0.00139,Pi,asv_000470
970.013794,1040.985596,NnzSnp,asv_000470
8e-06,1.2e-05,SigmaSq,asv_000470
0.087161,0.82864,S,asv_000470
0.018923,0.002874,ResVar,asv_000470
0.001385,0.002179,GenVar,asv_000470
0.068137,0.106163,hsq,asv_000470
0.001759,0.001765,Pi,asv_000473
1316.722412,1321.507446,NnzSnp,asv_000473
3e-06,5e-06,SigmaSq,asv_000473
-1.308742,0.609221,S,asv_000473
0.002831,0.002072,ResVar,asv_000473
0.005508,0.002115,GenVar,asv_000473
0.65947,0.247822,hsq,asv_000473
0.002753,0.002165,Pi,asv_000487
2061.320801,1621.297607,NnzSnp,asv_000487
4e-06,7e-06,SigmaSq,asv_000487
-0.096455,0.725689,S,asv_000487
0.004773,0.001174,ResVar,asv_000487
0.0012,0.001094,GenVar,asv_000487
0.200579,0.179681,hsq,asv_000487
0.001343,0.001231,Pi,asv_000492
1004.996887,921.986328,NnzSnp,asv_000492
4e-06,6e-06,SigmaSq,asv_000492
0.103335,0.87371,S,asv_000492
0.01423,0.002159,ResVar,asv_000492
0.000937,0.001628,GenVar,asv_000492
0.0618,0.106664,hsq,asv_000492
0.002299,0.001819,Pi,asv_000498
1721.425171,1361.64624,NnzSnp,asv_000498
1.4e-05,2.4e-05,SigmaSq,asv_000498
0.028409,0.7322,S,asv_000498
0.013915,0.00302,ResVar,asv_000498
0.002948,0.002721,GenVar,asv_000498
0.174712,0.159062,hsq,asv_000498
0.001793,0.001792,Pi,asv_000511
1342.391968,1342.392212,NnzSnp,asv_000511
0,1e-06,SigmaSq,asv_000511
-0.085245,0.939126,S,asv_000511
0.001051,0.000253,ResVar,asv_000511
0.000148,0.00023,GenVar,asv_000511
0.123659,0.190791,hsq,asv_000511
0.00345,0.002227,Pi,asv_000529
2583.299072,1668.016357,NnzSnp,asv_000529
0.000342,0.000752,SigmaSq,asv_000529
-0.531097,0.684328,S,asv_000529
0.143681,0.078686,ResVar,asv_000529
0.178141,0.079949,GenVar,asv_000529
0.552412,0.241889,hsq,asv_000529
0.003335,0.0019,Pi,asv_000544
2497.126465,1422.728394,NnzSnp,asv_000544
3.8e-05,5.2e-05,SigmaSq,asv_000544
-0.023964,0.619675,S,asv_000544
0.012705,0.004223,ResVar,asv_000544
0.009243,0.004292,GenVar,asv_000544
0.419628,0.188078,hsq,asv_000544
0.002334,0.001831,Pi,asv_000549
1747.408447,1370.907227,NnzSnp,asv_000549
1e-05,1.6e-05,SigmaSq,asv_000549
-0.982497,0.531814,S,asv_000549
0.004227,0.002598,ResVar,asv_000549
0.009674,0.002715,GenVar,asv_000549
0.694876,0.187188,hsq,asv_000549
0.002918,0.002,Pi,asv_000551
2185.217773,1498.231567,NnzSnp,asv_000551
3.3e-05,5.1e-05,SigmaSq,asv_000551
-0.113833,0.693752,S,asv_000551
0.017044,0.005856,ResVar,asv_000551
0.008927,0.005805,GenVar,asv_000551
0.342537,0.218216,hsq,asv_000551
0.003996,0.002239,Pi,asv_000552
2991.997803,1676.848755,NnzSnp,asv_000552
7.5e-05,0.000107,SigmaSq,asv_000552
-0.033265,0.57831,S,asv_000552
0.010901,0.004868,ResVar,asv_000552
0.02051,0.005272,GenVar,asv_000552
0.651429,0.156184,hsq,asv_000552
0.003565,0.002338,Pi,asv_000570
2670.010742,1750.568359,NnzSnp,asv_000570
2e-06,3e-06,SigmaSq,asv_000570
0.002927,0.608635,S,asv_000570
0.000871,0.000263,ResVar,asv_000570
0.000408,0.00026,GenVar,asv_000570
0.317883,0.197658,hsq,asv_000570
0.002147,0.001779,Pi,asv_000575
1607.764771,1332.525879,NnzSnp,asv_000575
2e-06,4e-06,SigmaSq,asv_000575
-0.201016,0.682965,S,asv_000575
0.002089,0.000528,ResVar,asv_000575
0.000631,0.000502,GenVar,asv_000575
0.231297,0.180297,hsq,asv_000575
0.003571,0.002269,Pi,asv_000596
2673.860352,1698.799316,NnzSnp,asv_000596
4.3e-05,7.3e-05,SigmaSq,asv_000596
-0.343079,0.627444,S,asv_000596
0.021416,0.008554,ResVar,asv_000596
0.018181,0.00878,GenVar,asv_000596
0.457238,0.213957,hsq,asv_000596
0.00173,0.001666,Pi,asv_000629
1294.912109,1248.136719,NnzSnp,asv_000629
4e-06,6e-06,SigmaSq,asv_000629
0.034334,0.859348,S,asv_000629
0.019805,0.002964,ResVar,asv_000629
0.001216,0.002226,GenVar,asv_000629
0.057817,0.104451,hsq,asv_000629
0.001362,0.001431,Pi,asv_000669
1019.307129,1071.369751,NnzSnp,asv_000669
0,0,SigmaSq,asv_000669
0.226648,0.874828,S,asv_000669
0.000166,2.1e-05,ResVar,asv_000669
6e-06,1.3e-05,GenVar,asv_000669
0.03438,0.076868,hsq,asv_000669
0.003118,0.002274,Pi,asv_000672
2335.09668,1703.217041,NnzSnp,asv_000672
2.4e-05,4.5e-05,SigmaSq,asv_000672
0.095498,0.67155,S,asv_000672
0.012941,0.003812,ResVar,asv_000672
0.004839,0.003703,GenVar,asv_000672
0.27121,0.203414,hsq,asv_000672
0.001341,0.001332,Pi,asv_000711
1004.056091,998.148804,NnzSnp,asv_000711
1e-06,2e-06,SigmaSq,asv_000711
-0.105476,1.049114,S,asv_000711
0.005005,0.001273,ResVar,asv_000711
0.000674,0.001172,GenVar,asv_000711
0.118675,0.205227,hsq,asv_000711
0.00327,0.002057,Pi,asv_000719
2448.330078,1540.079834,NnzSnp,asv_000719
2.4e-05,3.5e-05,SigmaSq,asv_000719
-0.715583,0.414106,S,asv_000719
0.004729,0.002408,ResVar,asv_000719
0.017426,0.002704,GenVar,asv_000719
0.785873,0.10946,hsq,asv_000719
0.001456,0.001442,Pi,asv_000860
1090.240356,1079.612061,NnzSnp,asv_000860
1e-06,1e-06,SigmaSq,asv_000860
0.20045,0.834969,S,asv_000860
0.00258,0.000309,ResVar,asv_000860
0.000102,0.000172,GenVar,asv_000860
0.03809,0.063845,hsq,asv_000860
0.003534,0.002194,Pi,asv_000862
2647.129883,1642.658203,NnzSnp,asv_000862
0.000122,0.000171,SigmaSq,asv_000862
-0.121761,0.578545,S,asv_000862
0.017455,0.007592,ResVar,asv_000862
0.033052,0.00826,GenVar,asv_000862
0.652903,0.151635,hsq,asv_000862
0.001606,0.001658,Pi,asv_000896
1202.176514,1241.913086,NnzSnp,asv_000896
0,0,SigmaSq,asv_000896
0.089113,0.850216,S,asv_000896
9.9e-05,1.3e-05,ResVar,asv_000896
5e-06,9e-06,GenVar,asv_000896
0.05059,0.085577,hsq,asv_000896
0.001416,0.001515,Pi,asv_000906
1059.992676,1133.959595,NnzSnp,asv_000906
7e-06,8e-06,SigmaSq,asv_000906
0.039915,0.861882,S,asv_000906
0.02122,0.003252,ResVar,asv_000906
0.001556,0.002493,GenVar,asv_000906
0.068252,0.108289,hsq,asv_000906
0.00228,0.001995,Pi,asv_000920
1706.853638,1494.235718,NnzSnp,asv_000920
2e-05,3.6e-05,SigmaSq,asv_000920
-0.389343,0.917949,S,asv_000920
0.02013,0.008815,ResVar,asv_000920
0.010212,0.008684,GenVar,asv_000920
0.335882,0.282275,hsq,asv_000920
0.003295,0.002338,Pi,asv_000986
2467.104736,1750.614258,NnzSnp,asv_000986
1.1e-05,1.9e-05,SigmaSq,asv_000986
-0.450057,0.629036,S,asv_000986
0.006437,0.002913,ResVar,asv_000986
0.006076,0.002991,GenVar,asv_000986
0.483534,0.231532,hsq,asv_000986
0.003699,0.002251,Pi,asv_001001
2770.141846,1685.734497,NnzSnp,asv_001001
3.7e-05,5.2e-05,SigmaSq,asv_001001
0.000629,0.520316,S,asv_001001
0.016915,0.004952,ResVar,asv_001001
0.00991,0.004955,GenVar,asv_001001
0.368102,0.177871,hsq,asv_001001
0.003118,0.002021,Pi,asv_001011
2334.502441,1513.106201,NnzSnp,asv_001011
1.3e-05,2e-05,SigmaSq,asv_001011
-0.359183,0.644067,S,asv_001011
0.010706,0.00324,ResVar,asv_001011
0.005576,0.003211,GenVar,asv_001011
0.34124,0.191474,hsq,asv_001011
0.001246,0.00125,Pi,asv_001057
932.143616,935.753723,NnzSnp,asv_001057
5e-06,6e-06,SigmaSq,asv_001057
0.304179,0.858689,S,asv_001057
0.009716,0.001433,ResVar,asv_001057
0.000644,0.001071,GenVar,asv_001057
0.062075,0.102138,hsq,asv_001057
0.001756,0.00174,Pi,asv_001063
1314.395142,1302.868042,NnzSnp,asv_001063
4e-06,6e-06,SigmaSq,asv_001063
-0.167128,0.869857,S,asv_001063
0.009551,0.002485,ResVar,asv_001063
0.001641,0.002306,GenVar,asv_001063
0.14645,0.204136,hsq,asv_001063
0.001305,0.001294,Pi,asv_001073
976.835571,969.485901,NnzSnp,asv_001073
0,0,SigmaSq,asv_001073
-0.155227,1.058054,S,asv_001073
0.000131,3.6e-05,ResVar,asv_001073
2.2e-05,3.4e-05,GenVar,asv_001073
0.145988,0.218276,hsq,asv_001073
0.002046,0.001849,Pi,asv_001085
1531.975708,1384.757935,NnzSnp,asv_001085
1e-05,1.8e-05,SigmaSq,asv_001085
-0.229821,0.761255,S,asv_001085
0.014799,0.003921,ResVar,asv_001085
0.00353,0.003684,GenVar,asv_001085
0.192258,0.198003,hsq,asv_001085
9.6e-05,9.6e-05,Pi,asv_001167
71.2024,71.639877,NnzSnp,asv_001167
0,0,SigmaSq,asv_001167
-2.320408,0.346052,S,asv_001167
3.6e-05,2.2e-05,ResVar,asv_001167
0.000195,2.4e-05,GenVar,asv_001167
0.842785,0.093151,hsq,asv_001167
0.001645,0.001511,Pi,asv_001169
1231.30835,1131.477051,NnzSnp,asv_001169
1e-06,1e-06,SigmaSq,asv_001169
-0.097186,0.911302,S,asv_001169
0.002868,0.000623,ResVar,asv_001169
0.000372,0.000555,GenVar,asv_001169
0.114778,0.169503,hsq,asv_001169
0.001743,0.001621,Pi,asv_001183
1304.726807,1214.141724,NnzSnp,asv_001183
1e-06,2e-06,SigmaSq,asv_001183
0.056308,0.901637,S,asv_001183
0.002693,0.000559,ResVar,asv_001183
0.000314,0.00049,GenVar,asv_001183
0.104568,0.161858,hsq,asv_001183
0.002694,0.00221,Pi,asv_001204
2017.435791,1655.650146,NnzSnp,asv_001204
3e-06,6e-06,SigmaSq,asv_001204
-0.030977,0.727293,S,asv_001204
0.003801,0.000842,ResVar,asv_001204
0.000779,0.000762,GenVar,asv_001204
0.169868,0.163448,hsq,asv_001204
0.00177,0.001745,Pi,asv_001207
1324.746216,1306.434937,NnzSnp,asv_001207
1e-06,2e-06,SigmaSq,asv_001207
-0.097275,0.936231,S,asv_001207
0.006025,0.001509,ResVar,asv_001207
0.000836,0.001398,GenVar,asv_001207
0.121494,0.201703,hsq,asv_001207
0.001651,0.001531,Pi,asv_001232
1236.292725,1146.267212,NnzSnp,asv_001232
0,1e-06,SigmaSq,asv_001232
0.098358,0.838085,S,asv_001232
0.000687,0.00012,ResVar,asv_001232
6e-05,9.9e-05,GenVar,asv_001232
0.080091,0.131607,hsq,asv_001232
0.002721,0.002002,Pi,asv_001234
2037.322388,1498.458496,NnzSnp,asv_001234
1e-05,1.9e-05,SigmaSq,asv_001234
-0.347048,0.694762,S,asv_001234
0.009026,0.003379,ResVar,asv_001234
0.00437,0.003325,GenVar,asv_001234
0.32536,0.243707,hsq,asv_001234
0.001596,0.001535,Pi,asv_001244
1194.325439,1149.220337,NnzSnp,asv_001244
0,0,SigmaSq,asv_001244
-0.142615,0.894405,S,asv_001244
0.000597,0.000113,ResVar,asv_001244
5.3e-05,9.5e-05,GenVar,asv_001244
0.081622,0.146188,hsq,asv_001244
0.003672,0.002363,Pi,asv_001255
2750.105225,1769.746216,NnzSnp,asv_001255
2.5e-05,3.1e-05,SigmaSq,asv_001255
0.042268,0.603283,S,asv_001255
0.008062,0.002658,ResVar,asv_001255
0.006075,0.002712,GenVar,asv_001255
0.428202,0.184217,hsq,asv_001255
0.001742,0.001723,Pi,asv_001292
1304.142456,1290.755005,NnzSnp,asv_001292
1.9e-05,3.1e-05,SigmaSq,asv_001292
-0.047375,0.851197,S,asv_001292
0.060339,0.013509,ResVar,asv_001292
0.007605,0.012114,GenVar,asv_001292
0.111917,0.176922,hsq,asv_001292
0.002738,0.002074,Pi,asv_001294
2049.914062,1552.901489,NnzSnp,asv_001294
1e-05,1.7e-05,SigmaSq,asv_001294
-0.615787,0.635986,S,asv_001294
0.010241,0.004035,ResVar,asv_001294
0.006575,0.004012,GenVar,asv_001294
0.390074,0.233288,hsq,asv_001294
0.003509,0.002127,Pi,asv_001303
2627.892578,1593.204102,NnzSnp,asv_001303
2e-06,3e-06,SigmaSq,asv_001303
0.008503,0.543297,S,asv_001303
0.000466,0.000182,ResVar,asv_001303
0.000581,0.000193,GenVar,asv_001303
0.552764,0.174108,hsq,asv_001303
0.001467,0.00154,Pi,asv_001312
1098.36853,1153.07605,NnzSnp,asv_001312
2e-06,2e-06,SigmaSq,asv_001312
0.243917,0.784288,S,asv_001312
0.006342,0.00076,ResVar,asv_001312
0.000268,0.000418,GenVar,asv_001312
0.040501,0.062567,hsq,asv_001312
0.003271,0.002234,Pi,asv_001319
2449.360352,1673.451416,NnzSnp,asv_001319
6e-06,1.2e-05,SigmaSq,asv_001319
-0.432932,0.710592,S,asv_001319
0.002104,0.001158,ResVar,asv_001319
0.00254,0.001174,GenVar,asv_001319
0.545758,0.246354,hsq,asv_001319
0.001978,0.001765,Pi,asv_001323
1480.504028,1321.630005,NnzSnp,asv_001323
2.7e-05,6.4e-05,SigmaSq,asv_001323
-0.680171,0.811955,S,asv_001323
0.01838,0.008358,ResVar,asv_001323
0.012449,0.008309,GenVar,asv_001323
0.402931,0.265019,hsq,asv_001323
0.00139,0.001442,Pi,asv_001347
1040.592407,1080.502319,NnzSnp,asv_001347
0,0,SigmaSq,asv_001347
0.209323,0.906787,S,asv_001347
6.1e-05,7e-06,ResVar,asv_001347
2e-06,4e-06,GenVar,asv_001347
0.02678,0.058772,hsq,asv_001347
0.001198,0.00124,Pi,asv_001370
896.667908,928.595215,NnzSnp,asv_001370
0,0,SigmaSq,asv_001370
0.109668,0.827085,S,asv_001370
0.000298,3.5e-05,ResVar,asv_001370
1e-05,1.8e-05,GenVar,asv_001370
0.031743,0.05842,hsq,asv_001370
0.002179,0.001865,Pi,asv_001416
1631.815308,1397.101807,NnzSnp,asv_001416
4e-06,8e-06,SigmaSq,asv_001416
-0.715563,0.733798,S,asv_001416
0.003105,0.001663,ResVar,asv_001416
0.002722,0.001666,GenVar,asv_001416
0.465986,0.281068,hsq,asv_001416
0.001699,0.001815,Pi,asv_001444
1271.849609,1359.361938,NnzSnp,asv_001444
1e-06,1e-06,SigmaSq,asv_001444
0.160269,0.757697,S,asv_001444
0.00282,0.000334,ResVar,asv_001444
0.000106,0.000178,GenVar,asv_001444
0.036349,0.060561,hsq,asv_001444
0.001531,0.001618,Pi,asv_001446
1146.40271,1211.748169,NnzSnp,asv_001446
0,0,SigmaSq,asv_001446
-0.027605,0.859298,S,asv_001446
0.000358,5.4e-05,ResVar,asv_001446
2.2e-05,4.1e-05,GenVar,asv_001446
0.058992,0.105902,hsq,asv_001446
0.001517,0.001467,Pi,asv_001461
1135.198242,1098.401123,NnzSnp,asv_001461
1e-06,1e-06,SigmaSq,asv_001461
-0.061719,0.917108,S,asv_001461
0.001498,0.000362,ResVar,asv_001461
0.00022,0.000329,GenVar,asv_001461
0.127939,0.190756,hsq,asv_001461
0.001644,0.001634,Pi,asv_001499
1231.001587,1223.149414,NnzSnp,asv_001499
0,0,SigmaSq,asv_001499
0.076721,0.834918,S,asv_001499
0.000274,5e-05,ResVar,asv_001499
2.7e-05,4.2e-05,GenVar,asv_001499
0.089283,0.139612,hsq,asv_001499
0.000115,0.000515,Pi,asv_001529
85.276497,385.196777,NnzSnp,asv_001529
6e-06,1.4e-05,SigmaSq,asv_001529
-2.340133,0.388584,S,asv_001529
0.001032,0.001111,ResVar,asv_001529
0.009821,0.001176,GenVar,asv_001529
0.904881,0.101564,hsq,asv_001529
0.001764,0.001516,Pi,asv_001532
1320.71521,1135.455566,NnzSnp,asv_001532
1e-06,1e-06,SigmaSq,asv_001532
-0.583432,0.842596,S,asv_001532
0.002553,0.000999,ResVar,asv_001532
0.000932,0.00097,GenVar,asv_001532
0.267237,0.27605,hsq,asv_001532
0.001357,0.001391,Pi,asv_001572
1015.662781,1041.722656,NnzSnp,asv_001572
0,0,SigmaSq,asv_001572
0.104038,0.842355,S,asv_001572
0.000892,0.00013,ResVar,asv_001572
4.8e-05,9.4e-05,GenVar,asv_001572
0.051072,0.099829,hsq,asv_001572
0.001415,0.001416,Pi,asv_001582
1059.636841,1061.044067,NnzSnp,asv_001582
2e-06,2e-06,SigmaSq,asv_001582
0.039711,0.808873,S,asv_001582
0.007345,0.000963,ResVar,asv_001582
0.00035,0.000619,GenVar,asv_001582
0.045546,0.079857,hsq,asv_001582
0.002917,0.002256,Pi,asv_001657
2184.459473,1689.781006,NnzSnp,asv_001657
8e-06,1.5e-05,SigmaSq,asv_001657
-0.716603,0.682175,S,asv_001657
0.004023,0.00266,ResVar,asv_001657
0.00617,0.002702,GenVar,asv_001657
0.604204,0.258984,hsq,asv_001657
0.002244,0.00192,Pi,asv_001660
1680.601562,1438.133667,NnzSnp,asv_001660
1e-06,1e-06,SigmaSq,asv_001660
-0.114883,0.767109,S,asv_001660
0.00182,0.000415,ResVar,asv_001660
3e-04,0.000374,GenVar,asv_001660
0.141518,0.174522,hsq,asv_001660
0.002143,0.001726,Pi,asv_001667
1604.424316,1292.970215,NnzSnp,asv_001667
4e-06,8e-06,SigmaSq,asv_001667
0.042802,0.717431,S,asv_001667
0.00678,0.001136,ResVar,asv_001667
0.000783,0.000916,GenVar,asv_001667
0.103555,0.119347,hsq,asv_001667
0.002722,0.002138,Pi,asv_001749
2037.743652,1601.011353,NnzSnp,asv_001749
7e-06,1.3e-05,SigmaSq,asv_001749
-0.253574,0.847288,S,asv_001749
0.008759,0.003563,ResVar,asv_001749
0.003881,0.003491,GenVar,asv_001749
0.306507,0.272652,hsq,asv_001749
0.003003,0.001914,Pi,asv_001772
2248.908447,1432.676025,NnzSnp,asv_001772
2.1e-05,4e-05,SigmaSq,asv_001772
-0.468558,0.487661,S,asv_001772
