Mean,SD,par,trait
-0.61351,0.743578,S,asv_001806
8e-06,3e-06,ResVar,asv_001806
3e-06,3e-06,GenVar,asv_001806
0.289193,0.272198,hsq,asv_001806
0.001201,0.001858,Pi,asv_001834
898.487305,1392.091919,NnzSnp,asv_001834
6e-06,1e-05,SigmaSq,asv_001834
-1.040397,1.408302,S,asv_001834
0.014279,0.008709,ResVar,asv_001834
0.009239,0.008604,GenVar,asv_001834
0.392647,0.363902,hsq,asv_001834
0.002351,0.002241,Pi,asv_001840
1760.547241,1678.872437,NnzSnp,asv_001840
1e-06,1e-06,SigmaSq,asv_001840
-0.014989,0.813032,S,asv_001840
0.002665,0.000464,ResVar,asv_001840
0.000228,0.00038,GenVar,asv_001840
0.079022,0.130733,hsq,asv_001840
0.002211,0.002058,Pi,asv_001875
1655.924072,1541.675537,NnzSnp,asv_001875
2e-06,3e-06,SigmaSq,asv_001875
0.252014,0.765845,S,asv_001875
0.009049,0.001082,ResVar,asv_001875
0.000411,0.000611,GenVar,asv_001875
0.043459,0.064,hsq,asv_001875
0.000906,0.001552,Pi,asv_001888
678.161621,1162.548706,NnzSnp,asv_001888
1e-06,4e-06,SigmaSq,asv_001888
-1.193031,1.57216,S,asv_001888
0.001643,0.001252,ResVar,asv_001888
0.001414,0.00124,GenVar,asv_001888
0.462661,0.404077,hsq,asv_001888
6.3e-05,1.5e-05,Pi,asv_001978
46.331001,9.08636,NnzSnp,asv_001978
1.4e-05,2.2e-05,SigmaSq,asv_001978
-2.522615,0.221156,S,asv_001978
0.004443,0.001235,ResVar,asv_001978
0.077373,0.002832,GenVar,asv_001978
0.945671,0.01509,hsq,asv_001978
0.001324,0.001809,Pi,asv_002136
990.689087,1355.182739,NnzSnp,asv_002136
0,0,SigmaSq,asv_002136
-0.909959,1.24238,S,asv_002136
1.5e-05,5e-06,ResVar,asv_002136
5e-06,5e-06,GenVar,asv_002136
0.22905,0.254492,hsq,asv_002136
0.000604,0.000918,Pi,asv_002138
451.858185,687.352173,NnzSnp,asv_002138
0,0,SigmaSq,asv_002138
1.017751,0.847999,S,asv_002138
0,0,ResVar,asv_002138
0,0,GenVar,asv_002138
0.00724,0.00735,hsq,asv_002138
0.002373,0.002295,Pi,asv_002166
1776.96875,1719.076538,NnzSnp,asv_002166
0,0,SigmaSq,asv_002166
-0.376262,1.047588,S,asv_002166
9.1e-05,3.2e-05,ResVar,asv_002166
2.7e-05,3.1e-05,GenVar,asv_002166
0.225931,0.257702,hsq,asv_002166
0.002234,0.002192,Pi,asv_002172
1673.051392,1642.226807,NnzSnp,asv_002172
2e-06,2e-06,SigmaSq,asv_002172
0.088114,0.8967,S,asv_002172
0.014215,0.001878,ResVar,asv_002172
0.000676,0.001258,GenVar,asv_002172
0.045466,0.083838,hsq,asv_002172
0.002108,0.002091,Pi,asv_002205
1578.715942,1566.554688,NnzSnp,asv_002205
0,0,SigmaSq,asv_002205
-0.03841,0.804834,S,asv_002205
0.002382,0.000359,ResVar,asv_002205
0.000144,0.000271,GenVar,asv_002205
0.056829,0.106429,hsq,asv_002205
0.000108,0.000331,Pi,asv_002309
80.188972,248.487274,NnzSnp,asv_002309
1.1e-05,1.7e-05,SigmaSq,asv_002309
-2.460327,0.573782,S,asv_002309
0.00484,0.007087,ResVar,asv_002309
0.038876,0.007204,GenVar,asv_002309
0.889313,0.160635,hsq,asv_002309
0.002052,0.002305,Pi,asv_002353
1536.081787,1726.189209,NnzSnp,asv_002353
0,0,SigmaSq,asv_002353
-0.210421,1.151858,S,asv_002353
0.000601,0.000181,ResVar,asv_002353
0.000117,0.000172,GenVar,asv_002353
0.162174,0.238097,hsq,asv_002353
0.002923,0.002439,Pi,asv_002354
2188.408447,1826.312012,NnzSnp,asv_002354
0,0,SigmaSq,asv_002354
-0.416225,0.807416,S,asv_002354
0.000151,5.9e-05,ResVar,asv_002354
6.6e-05,5.8e-05,GenVar,asv_002354
0.303012,0.261255,hsq,asv_002354
0.00397,0.002569,Pi,asv_002358
2973.046387,1923.81311,NnzSnp,asv_002358
4e-06,7e-06,SigmaSq,asv_002358
-0.867293,0.488451,S,asv_002358
0.002335,0.001336,ResVar,asv_002358
0.004466,0.001383,GenVar,asv_002358
0.65566,0.195848,hsq,asv_002358
8e-05,3.4e-05,Pi,asv_002692
59.119148,24.335207,NnzSnp,asv_002692
2e-06,5e-06,SigmaSq,asv_002692
-2.513856,0.279133,S,asv_002692
0.001367,0.000568,ResVar,asv_002692
0.00672,0.000689,GenVar,asv_002692
0.830733,0.07032,hsq,asv_002692
0.002025,0.001934,Pi,asv_002742
1516.524048,1448.13855,NnzSnp,asv_002742
2e-06,2e-06,SigmaSq,asv_002742
0.15898,0.786371,S,asv_002742
0.022612,0.002382,ResVar,asv_002742
0.000481,0.00084,GenVar,asv_002742
0.020821,0.035977,hsq,asv_002742
0.000499,0.00117,Pi,asv_002743
372.846954,876.516907,NnzSnp,asv_002743
0,1e-06,SigmaSq,asv_002743
-1.871669,1.10997,S,asv_002743
0.000767,4e-04,ResVar,asv_002743
0.000741,0.000401,GenVar,asv_002743
0.490444,0.260528,hsq,asv_002743
0.000351,0.001408,Pi,asv_002768
262.409058,1054.800415,NnzSnp,asv_002768
0,0,SigmaSq,asv_002768
-2.461765,0.709234,S,asv_002768
6.2e-05,0.000116,ResVar,asv_002768
0.000497,0.000117,GenVar,asv_002768
0.88809,0.206764,hsq,asv_002768
6.5e-05,1.3e-05,Pi,asv_002780
48.065575,7.012715,NnzSnp,asv_002780
0,0,SigmaSq,asv_002780
-2.570807,0.216128,S,asv_002780
6e-06,1e-06,ResVar,asv_002780
0.000191,5e-06,GenVar,asv_002780
0.970392,0.006186,hsq,asv_002780
0.000363,0.001074,Pi,asv_002841
271.297211,804.664001,NnzSnp,asv_002841
1e-06,2e-06,SigmaSq,asv_002841
-2.187683,1.144977,S,asv_002841
0.001564,0.002093,ResVar,asv_002841
0.004911,0.002095,GenVar,asv_002841
0.758216,0.321228,hsq,asv_002841
0.00291,0.002608,Pi,asv_003033
2178.949219,1953.30481,NnzSnp,asv_003033
0,0,SigmaSq,asv_003033
-0.504896,0.864928,S,asv_003033
0.000493,0.000199,ResVar,asv_003033
0.000229,0.000195,GenVar,asv_003033
0.316105,0.266982,hsq,asv_003033
0.001632,0.001772,Pi,asv_003250
1221.353149,1326.306519,NnzSnp,asv_003250
0,0,SigmaSq,asv_003250
-0.560598,1.217846,S,asv_003250
3.9e-05,1.6e-05,ResVar,asv_003250
1.5e-05,1.6e-05,GenVar,asv_003250
0.269634,0.287258,hsq,asv_003250
0.000374,0.000988,Pi,asv_003343
279.276398,739.935181,NnzSnp,asv_003343
2e-06,3e-06,SigmaSq,asv_003343
-2.085068,1.033789,S,asv_003343
0.003185,0.002266,ResVar,asv_003343
0.005294,0.002287,GenVar,asv_003343
0.623785,0.264618,hsq,asv_003343
0.001391,0.001973,Pi,asv_004447
1040.57959,1477.015259,NnzSnp,asv_004447
0,1e-06,SigmaSq,asv_004447
-0.626532,1.534682,S,asv_004447
0.001346,0.000613,ResVar,asv_004447
0.000501,0.000598,GenVar,asv_004447
0.271274,0.322555,hsq,asv_004447
0.002026,0.002015,Pi,asv_004714
1516.647949,1508.473267,NnzSnp,asv_004714
0,0,SigmaSq,asv_004714
0.096622,0.784853,S,asv_004714
7e-06,1e-06,ResVar,asv_004714
0,1e-06,GenVar,asv_004714
0.054715,0.091721,hsq,asv_004714
0.000102,0.000559,Pi,asv_014370
75.282928,418.890167,NnzSnp,asv_014370
0,0,SigmaSq,asv_014370
-2.530851,0.344002,S,asv_014370
1.1e-05,2.2e-05,ResVar,asv_014370
0.000204,2.3e-05,GenVar,asv_014370
0.948603,0.102346,hsq,asv_014370
