Mean,SD,par,trait
6e-06,1.1e-05,SigmaSq,asv_000272
-0.260317,0.836903,S,asv_000272
0.027079,0.006468,ResVar,asv_000272
0.004314,0.005952,GenVar,asv_000272
0.137182,0.187529,hsq,asv_000272
0.002115,0.002085,Pi,asv_000281
1583.781006,1561.714966,NnzSnp,asv_000281
4e-06,1e-05,SigmaSq,asv_000281
-0.020889,0.838633,S,asv_000281
0.013457,0.002636,ResVar,asv_000281
0.001453,0.002286,GenVar,asv_000281
0.097417,0.151979,hsq,asv_000281
0.002264,0.002175,Pi,asv_000294
1694.806763,1629.403442,NnzSnp,asv_000294
3e-06,1e-05,SigmaSq,asv_000294
-0.016836,0.812415,S,asv_000294
0.019547,0.002898,ResVar,asv_000294
0.001148,0.002167,GenVar,asv_000294
0.055446,0.103677,hsq,asv_000294
0.003139,0.002952,Pi,asv_000311
2350.594482,2210.891357,NnzSnp,asv_000311
1e-06,1e-06,SigmaSq,asv_000311
0.222523,0.780803,S,asv_000311
0.001051,0.000189,ResVar,asv_000311
0.00013,0.000159,GenVar,asv_000311
0.110109,0.133156,hsq,asv_000311
0.002961,0.002782,Pi,asv_000322
2217.287598,2083.185547,NnzSnp,asv_000322
6e-06,1.1e-05,SigmaSq,asv_000322
0.043061,0.820333,S,asv_000322
0.023236,0.004317,ResVar,asv_000322
0.002657,0.003676,GenVar,asv_000322
0.10258,0.140526,hsq,asv_000322
0.004622,0.003381,Pi,asv_000330
3461.594727,2532.076416,NnzSnp,asv_000330
1.8e-05,3.1e-05,SigmaSq,asv_000330
-0.327691,0.610627,S,asv_000330
0.007574,0.003665,ResVar,asv_000330
0.008727,0.003764,GenVar,asv_000330
0.533768,0.223859,hsq,asv_000330
0.002315,0.00211,Pi,asv_000369
1733.733154,1579.990601,NnzSnp,asv_000369
1.1e-05,2.8e-05,SigmaSq,asv_000369
0.114867,0.818016,S,asv_000369
0.053627,0.007932,ResVar,asv_000369
0.003601,0.005939,GenVar,asv_000369
0.062887,0.102921,hsq,asv_000369
0.002556,0.002182,Pi,asv_000370
1914.307983,1634.081177,NnzSnp,asv_000370
4e-06,5e-06,SigmaSq,asv_000370
-0.011861,0.882874,S,asv_000370
0.013735,0.002966,ResVar,asv_000370
0.001969,0.002647,GenVar,asv_000370
0.125319,0.166916,hsq,asv_000370
0.002969,0.002316,Pi,asv_000396
2223.355469,1734.355103,NnzSnp,asv_000396
3e-06,8e-06,SigmaSq,asv_000396
-0.587134,0.883182,S,asv_000396
0.006687,0.003203,ResVar,asv_000396
0.003562,0.003158,GenVar,asv_000396
0.347015,0.305181,hsq,asv_000396
0.002325,0.002375,Pi,asv_000431
1740.557007,1779.152832,NnzSnp,asv_000431
2e-06,2e-06,SigmaSq,asv_000431
0.005193,0.84905,S,asv_000431
0.008484,0.001344,ResVar,asv_000431
0.000652,0.00106,GenVar,asv_000431
0.07137,0.114954,hsq,asv_000431
0.001968,0.002096,Pi,asv_000470
1473.190308,1569.545166,NnzSnp,asv_000470
1e-06,1e-06,SigmaSq,asv_000470
0.159636,0.86604,S,asv_000470
0.006174,0.000754,ResVar,asv_000470
0.000251,0.000443,GenVar,asv_000470
0.039045,0.068391,hsq,asv_000470
0.002427,0.002277,Pi,asv_000473
1817.230957,1705.265381,NnzSnp,asv_000473
0,0,SigmaSq,asv_000473
0.005001,0.917943,S,asv_000473
0.001816,0.000334,ResVar,asv_000473
0.000171,0.000284,GenVar,asv_000473
0.08602,0.141637,hsq,asv_000473
0.002544,0.002348,Pi,asv_000483
1904.86084,1758.7229,NnzSnp,asv_000483
1e-06,1e-06,SigmaSq,asv_000483
0.071785,0.854939,S,asv_000483
0.004905,0.000711,ResVar,asv_000483
0.000364,0.00053,GenVar,asv_000483
0.069036,0.099607,hsq,asv_000483
0.001847,0.00179,Pi,asv_000487
1382.96936,1340.822144,NnzSnp,asv_000487
1e-06,1e-06,SigmaSq,asv_000487
0.235313,0.85179,S,asv_000487
0.008624,0.001008,ResVar,asv_000487
0.000259,0.00054,GenVar,asv_000487
0.029224,0.060517,hsq,asv_000487
0.002205,0.002325,Pi,asv_000498
1650.662354,1741.279541,NnzSnp,asv_000498
1e-05,1.3e-05,SigmaSq,asv_000498
0.230742,0.942179,S,asv_000498
0.033348,0.005863,ResVar,asv_000498
0.002825,0.004835,GenVar,asv_000498
0.07822,0.132897,hsq,asv_000498
0.001944,0.001913,Pi,asv_000511
1455.300659,1433.075928,NnzSnp,asv_000511
2e-06,2e-06,SigmaSq,asv_000511
0.144465,0.916382,S,asv_000511
0.014121,0.001844,ResVar,asv_000511
0.000648,0.001216,GenVar,asv_000511
0.04389,0.081733,hsq,asv_000511
0.003857,0.002959,Pi,asv_000529
2888.310791,2216.108154,NnzSnp,asv_000529
9.9e-05,0.000191,SigmaSq,asv_000529
-0.236541,0.708817,S,asv_000529
0.090113,0.036744,ResVar,asv_000529
0.047806,0.036298,GenVar,asv_000529
0.345812,0.258593,hsq,asv_000529
0.004316,0.002951,Pi,asv_000544
3232.57959,2210.280518,NnzSnp,asv_000544
1.3e-05,2.5e-05,SigmaSq,asv_000544
