Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_5232,146661,HAV_5232_S63_R1_001.fastq.gz,NC348,+N,N,sp3,spb2,rep3,ETR,1319,Y2019,Ames 27170,ts
HAV_5233,172061,HAV_5233_S4_R1_001.fastq.gz,E2558W,+N,N,sp3,spb2,rep1,BRS,1322,Y2019,Ames 27110,nss
HAV_5234,171347,HAV_5234_S13_R1_001.fastq.gz,E2558W,+N,N,sp3,spb2,rep2,BRS,1322,Y2019,Ames 27110,nss
HAV_5235,138820,HAV_5235_S22_R1_001.fastq.gz,E2558W,+N,N,sp3,spb2,rep3,ETR,1322,Y2019,Ames 27110,nss
HAV_5236,125631,HAV_5236_S31_R1_001.fastq.gz,CHECK,+N,N,sp3,spb2,rep1,BRS,1323,Y2019,B73xMo17,NA
HAV_5237,157339,HAV_5237_S40_R1_001.fastq.gz,CHECK,+N,N,sp3,spb2,rep2,BRS,1323,Y2019,B73xMo17,NA
HAV_5238,163938,HAV_5238_S48_R1_001.fastq.gz,CHECK,+N,N,sp3,spb2,rep3,ETR,1323,Y2019,B73xMo17,NA
HAV_5239,137690,HAV_5239_S56_R1_001.fastq.gz,NC320,+N,N,sp3,spb2,rep1,BRS,1325,Y2019,Ames 27156,ts
HAV_5240,159412,HAV_5240_S64_R1_001.fastq.gz,NC320,+N,N,sp3,spb2,rep2,BRS,1325,Y2019,Ames 27156,ts
HAV_5241,158468,HAV_5241_S5_R1_001.fastq.gz,NC320,+N,N,sp3,spb2,rep3,ETR,1325,Y2019,Ames 27156,ts
HAV_5242,164747,HAV_5242_S14_R1_001.fastq.gz,DE811,+N,N,sp3,spb2,rep1,BRS,1327,Y2019,PI 550558,mixed
HAV_5243,142837,HAV_5243_S23_R1_001.fastq.gz,DE811,+N,N,sp3,spb2,rep2,BRS,1327,Y2019,PI 550558,mixed
HAV_5244,121255,HAV_5244_S32_R1_001.fastq.gz,DE811,+N,N,sp3,spb2,rep3,ETR,1327,Y2019,PI 550558,mixed
HAV_5245,147658,HAV_5245_S41_R1_001.fastq.gz,KI2021,+N,N,sp3,spb3,rep1,CHM,1330,Y2019,Ames 27129,ts
HAV_5246,174282,HAV_5246_S49_R1_001.fastq.gz,KI2021,+N,N,sp3,spb3,rep2,CHM,1330,Y2019,Ames 27129,ts
HAV_5247,164734,HAV_5247_S57_R1_001.fastq.gz,KI2021,+N,N,sp3,spb3,rep3,ETR,1330,Y2019,Ames 27129,ts
HAV_5248,169363,HAV_5248_S65_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep1,CHM,1331,Y2019,B73xMo17,NA
HAV_5249,131025,HAV_5249_S6_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep2,CHM,1331,Y2019,B73xMo17,NA
HAV_5250,127780,HAV_5250_S15_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep3,ETR,1331,Y2019,B73xMo17,NA
HAV_5251,100358,HAV_5251_S24_R1_001.fastq.gz,TZI25,+N,N,sp3,spb3,rep1,CHM,1333,Y2019,PI 506255,mixed
HAV_5252,105323,HAV_5252_S33_R1_001.fastq.gz,TZI25,+N,N,sp3,spb3,rep2,CHM,1333,Y2019,PI 506255,mixed
HAV_5253,131976,HAV_5253_S42_R1_001.fastq.gz,TZI25,+N,N,sp3,spb3,rep3,ETR,1333,Y2019,PI 506255,mixed
HAV_5254,145277,HAV_5254_S50_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep1,CHM,1335,Y2019,B73xMo17,NA
HAV_5255,133625,HAV_5255_S58_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep2,CHM,1335,Y2019,B73xMo17,NA
HAV_5256,133649,HAV_5256_S66_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep3,ETR,1335,Y2019,B73xMo17,NA
HAV_5257,123825,HAV_5257_S7_R1_001.fastq.gz,TZI8,+N,N,sp3,spb3,rep1,ELA,1337,Y2019,PI 506246,ts
HAV_5258,96581,HAV_5258_S16_R1_001.fastq.gz,TZI8,+N,N,sp3,spb3,rep2,ELA,1337,Y2019,PI 506246,ts
HAV_5259,100691,HAV_5259_S25_R1_001.fastq.gz,TZI8,+N,N,sp3,spb3,rep3,SPD,1337,Y2019,PI 506246,ts
HAV_5260,88565,HAV_5260_S34_R1_001.fastq.gz,HY,+N,N,sp3,spb3,rep1,ELA,1340,Y2019,Ames 26808,nss
HAV_5261,91638,HAV_5261_S43_R1_001.fastq.gz,HY,+N,N,sp3,spb3,rep2,ELA,1340,Y2019,Ames 26808,nss
HAV_5262,115006,HAV_5262_S51_R1_001.fastq.gz,HY,+N,N,sp3,spb3,rep3,SPD,1340,Y2019,Ames 26808,nss
HAV_5263,108203,HAV_5263_S59_R1_001.fastq.gz,PA91,+N,N,sp3,spb3,rep1,ELA,1342,Y2019,PI 587147,nss
HAV_5264,128725,HAV_5264_S67_R1_001.fastq.gz,PA91,+N,N,sp3,spb3,rep2,ELA,1342,Y2019,PI 587147,nss
HAV_5265,151764,HAV_5265_S8_R1_001.fastq.gz,PA91,+N,N,sp3,spb3,rep3,SPD,1342,Y2019,PI 587147,nss
HAV_5266,82511,HAV_5266_S17_R1_001.fastq.gz,A679,+N,N,sp4,spb1,rep1,ELA,1344,Y2019,PI 587142,ss
HAV_5267,136248,HAV_5267_S26_R1_001.fastq.gz,A679,+N,N,sp4,spb1,rep2,ELA,1344,Y2019,PI 587142,ss
HAV_5268,119121,HAV_5268_S35_R1_001.fastq.gz,A679,+N,N,sp4,spb1,rep3,SPD,1344,Y2019,PI 587142,ss
HAV_5269,140374,HAV_5269_S44_R1_001.fastq.gz,B46,+N,N,sp4,spb1,rep1,ISS,1346,Y2019,PI 550469,mixed
HAV_5270,127937,HAV_5270_S52_R1_001.fastq.gz,B46,+N,N,sp4,spb1,rep2,ISS,1346,Y2019,PI 550469,mixed
HAV_5271,141014,HAV_5271_S60_R1_001.fastq.gz,B46,+N,N,sp4,spb1,rep3,SPD,1346,Y2019,PI 550469,mixed
HAV_5272,146412,HAV_5272_S68_R1_001.fastq.gz,H91,+N,N,sp4,spb1,rep1,ISS,1347,Y2019,Ames 27114,ss
HAV_5273,75998,HAV_5273_S69_R1_001.fastq.gz,H91,+N,N,sp4,spb1,rep2,ISS,1347,Y2019,Ames 27114,ss
HAV_5274,106660,HAV_5274_S77_R1_001.fastq.gz,H91,+N,N,sp4,spb1,rep3,SPD,1347,Y2019,Ames 27114,ss
HAV_5275,101323,HAV_5275_S85_R1_001.fastq.gz,B14A,+N,N,sp4,spb1,rep1,ISS,1350,Y2019,PI 550461,ss
HAV_5276,73675,HAV_5276_S93_R1_001.fastq.gz,B14A,+N,N,sp4,spb1,rep2,ISS,1350,Y2019,PI 550461,ss
HAV_5277,106187,HAV_5277_S101_R1_001.fastq.gz,B14A,+N,N,sp4,spb1,rep3,SPD,1350,Y2019,PI 550461,ss
HAV_5278,99245,HAV_5278_S108_R1_001.fastq.gz,A680,+N,N,sp4,spb1,rep1,ISS,1351,Y2019,Ames 23503,ss
HAV_5279,106899,HAV_5279_S115_R1_001.fastq.gz,A680,+N,N,sp4,spb1,rep2,ISS,1351,Y2019,Ames 23503,ss
HAV_5280,88216,HAV_5280_S122_R1_001.fastq.gz,A680,+N,N,sp4,spb1,rep3,SPD,1351,Y2019,Ames 23503,ss
HAV_5281,113262,HAV_5281_S70_R1_001.fastq.gz,B73,+N,N,sp4,spb1,rep1,MAM,1354,Y2019,PI 550473,ss
HAV_5282,126764,HAV_5282_S78_R1_001.fastq.gz,B73,+N,N,sp4,spb1,rep2,MAM,1354,Y2019,PI 550473,ss
HAV_5283,115066,HAV_5283_S86_R1_001.fastq.gz,B73,+N,N,sp4,spb1,rep3,SPD,1354,Y2019,PI 550473,ss
HAV_5284,125571,HAV_5284_S4_R1_001.fastq.gz,4226,+N,N,sp4,spb1,rep1,MAM,1356,Y2019,NSL 30904,nss
HAV_5285,135076,HAV_5285_S102_R1_001.fastq.gz,4226,+N,N,sp4,spb1,rep2,MAM,1356,Y2019,NSL 30904,nss
HAV_5286,109722,HAV_5286_S109_R1_001.fastq.gz,4226,+N,N,sp4,spb1,rep3,SES,1356,Y2019,NSL 30904,nss
HAV_5287,153860,HAV_5287_S116_R1_001.fastq.gz,CHECK,+N,N,sp4,spb2,rep1,MAM,1358,Y2019,B73xMo17,NA
HAV_5288,108044,HAV_5288_S123_R1_001.fastq.gz,CHECK,+N,N,sp4,spb2,rep2,MAM,1358,Y2019,B73xMo17,NA
HAV_5289,114648,HAV_5289_S71_R1_001.fastq.gz,CHECK,+N,N,sp4,spb2,rep3,SES,1358,Y2019,B73xMo17,NA
HAV_5290,124967,HAV_5290_S79_R1_001.fastq.gz,NC294,+N,N,sp4,spb2,rep1,MAM,1360,Y2019,Ames 27143,ss
HAV_5291,123407,HAV_5291_S87_R1_001.fastq.gz,NC294,+N,N,sp4,spb2,rep2,MAM,1360,Y2019,Ames 27143,ss
HAV_5292,82196,HAV_5292_S95_R1_001.fastq.gz,NC294,+N,N,sp4,spb2,rep3,SES,1360,Y2019,Ames 27143,ss
HAV_5296,129515,HAV_5296_S124_R1_001.fastq.gz,NC362,+N,N,sp4,spb2,rep1,XIM,1363,Y2019,Ames 27177,mixed
HAV_5297,135645,HAV_5297_S72_R1_001.fastq.gz,NC362,+N,N,sp4,spb2,rep2,XIM,1363,Y2019,Ames 27177,mixed
HAV_5298,140496,HAV_5298_S80_R1_001.fastq.gz,NC362,+N,N,sp4,spb2,rep3,SES,1363,Y2019,Ames 27177,mixed
HAV_5299,115024,HAV_5299_S88_R1_001.fastq.gz,PA880,+N,N,sp4,spb2,rep1,XIM,1366,Y2019,PI 517974,nss
HAV_5300,111148,HAV_5300_S96_R1_001.fastq.gz,PA880,+N,N,sp4,spb2,rep2,XIM,1366,Y2019,PI 517974,nss
HAV_5301,126341,HAV_5301_S103_R1_001.fastq.gz,PA880,+N,N,sp4,spb2,rep3,SES,1366,Y2019,PI 517974,nss
HAV_5302,124282,HAV_5302_S110_R1_001.fastq.gz,R177,+N,N,sp4,spb2,rep1,XIM,1367,Y2019,NSL 30894,nss
HAV_5303,137609,HAV_5303_S117_R1_001.fastq.gz,R177,+N,N,sp4,spb2,rep2,XIM,1367,Y2019,NSL 30894,nss
HAV_5304,152720,HAV_5304_S125_R1_001.fastq.gz,R177,+N,N,sp4,spb2,rep3,SES,1367,Y2019,NSL 30894,nss
HAV_5305,127576,HAV_5305_S73_R1_001.fastq.gz,MO17,+N,N,sp4,spb2,rep1,JYA,1369,Y2019,PI 558532,nss
HAV_5306,107009,HAV_5306_S81_R1_001.fastq.gz,MO17,+N,N,sp4,spb2,rep2,JYA,1369,Y2019,PI 558532,nss
HAV_5307,123215,HAV_5307_S89_R1_001.fastq.gz,MO17,+N,N,sp4,spb2,rep3,SES,1369,Y2019,PI 558532,nss
HAV_5308,82920,HAV_5308_S97_R1_001.fastq.gz,CI44,+N,N,sp4,spb3,rep1,JYA,1371,Y2019,CIze 44,nss
HAV_5309,104811,HAV_5309_S104_R1_001.fastq.gz,CI44,+N,N,sp4,spb3,rep2,JYA,1371,Y2019,CIze 44,nss
HAV_5310,123980,HAV_5310_S111_R1_001.fastq.gz,CI44,+N,N,sp4,spb3,rep3,SES,1371,Y2019,CIze 44,nss
HAV_5311,111597,HAV_5311_S118_R1_001.fastq.gz,CHECK,+N,N,sp4,spb3,rep1,JYA,1374,Y2019,B73xMo17,NA
HAV_5312,98541,HAV_5312_S126_R1_001.fastq.gz,CHECK,+N,N,sp4,spb3,rep2,JYA,1374,Y2019,B73xMo17,NA
HAV_5313,125293,HAV_5313_S74_R1_001.fastq.gz,CHECK,+N,N,sp4,spb3,rep3,ISS,1374,Y2019,B73xMo17,NA
HAV_5314,134768,HAV_5314_S82_R1_001.fastq.gz,A214N,+N,N,sp4,spb3,rep1,JYA,1375,Y2019,Ames 31536,mixed
HAV_5315,139927,HAV_5315_S90_R1_001.fastq.gz,A214N,+N,N,sp4,spb3,rep2,JYA,1375,Y2019,Ames 31536,mixed
HAV_5316,94837,HAV_5316_S98_R1_001.fastq.gz,A214N,+N,N,sp4,spb3,rep3,ISS,1375,Y2019,Ames 31536,mixed
HAV_5317,138001,HAV_5317_S105_R1_001.fastq.gz,CO109,+N,N,sp4,spb3,rep1,XID,1378,Y2019,PI 587125,nss
HAV_5318,153393,HAV_5318_S112_R1_001.fastq.gz,CO109,+N,N,sp4,spb3,rep2,XID,1378,Y2019,PI 587125,nss
HAV_5319,131455,HAV_5319_S119_R1_001.fastq.gz,CO109,+N,N,sp4,spb3,rep3,ISS,1378,Y2019,PI 587125,nss
HAV_5320,156810,HAV_5320_S127_R1_001.fastq.gz,38-11,+N,N,sp4,spb3,rep1,XID,1380,Y2019,Ames 31535,nss
HAV_5321,111382,HAV_5321_S75_R1_001.fastq.gz,38-11,+N,N,sp4,spb3,rep2,XID,1380,Y2019,Ames 31535,nss
HAV_5322,134101,HAV_5322_S83_R1_001.fastq.gz,38-11,+N,N,sp4,spb3,rep3,ISS,1380,Y2019,Ames 31535,nss
HAV_5323,117493,HAV_5323_S91_R1_001.fastq.gz,C49,+N,N,sp4,spb3,rep1,XID,1382,Y2019,Ames 28290,nss
HAV_5324,106363,HAV_5324_S99_R1_001.fastq.gz,C49,+N,N,sp4,spb3,rep2,XID,1382,Y2019,Ames 28290,nss
HAV_5325,137905,HAV_5325_S106_R1_001.fastq.gz,C49,+N,N,sp4,spb3,rep3,ISS,1382,Y2019,Ames 28290,nss
HAV_5326,154586,HAV_5326_S113_R1_001.fastq.gz,T8,+N,N,sp4,spb3,rep1,WIH,1383,Y2019,PI 550518,nss
HAV_5327,121711,HAV_5327_S120_R1_001.fastq.gz,T8,+N,N,sp4,spb3,rep2,WIH,1383,Y2019,PI 550518,nss
HAV_5328,138828,HAV_5328_S128_R1_001.fastq.gz,T8,+N,N,sp4,spb3,rep3,ISS,1383,Y2019,PI 550518,nss
HAV_5329,110418,HAV_5329_S76_R1_001.fastq.gz,CML314,+N,N,sp3,spb1,rep1,WIH,1402,Y2019,Ames 27094,ts
HAV_5330,82002,HAV_5330_S84_R1_001.fastq.gz,CML314,+N,N,sp3,spb1,rep2,WIH,1402,Y2019,Ames 27094,ts
HAV_5331,111064,HAV_5331_S92_R1_001.fastq.gz,CML314,+N,N,sp3,spb1,rep3,ISS,1402,Y2019,Ames 27094,ts
HAV_5332,78841,HAV_5332_S100_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep1,WIH,1404,Y2019,B73xMo17,NA
HAV_5333,99496,HAV_5333_S107_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep2,WIH,1404,Y2019,B73xMo17,NA
HAV_5334,108777,HAV_5334_S114_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep3,ISS,1404,Y2019,B73xMo17,NA
HAV_5335,99661,HAV_5335_S121_R1_001.fastq.gz,CML218,+N,N,sp3,spb1,rep1,WIH,1405,Y2019,Ames 27086,mixed
HAV_5336,110312,HAV_5336_S129_R1_001.fastq.gz,CML218,+N,N,sp3,spb1,rep2,WIH,1405,Y2019,Ames 27086,mixed
HAV_5337,112029,HAV_5337_S1_R1_001.fastq.gz,CML218,+N,N,sp3,spb1,rep3,ISS,1405,Y2019,Ames 27086,mixed
HAV_5338,108559,HAV_5338_S10_R1_001.fastq.gz,CML103,+N,N,sp3,spb1,rep1,WIH,1407,Y2019,Ames 27081,ts
HAV_5339,88499,HAV_5339_S19_R1_001.fastq.gz,CML103,+N,N,sp3,spb1,rep2,WIH,1407,Y2019,Ames 27081,ts
HAV_5340,88977,HAV_5340_S28_R1_001.fastq.gz,CML103,+N,N,sp3,spb1,rep3,JYA,1407,Y2019,Ames 27081,ts
HAV_5341,113942,HAV_5341_S5_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep1,WIH,1410,Y2019,B73xMo17,NA
HAV_5342,74594,HAV_5342_S45_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep2,WIH,1410,Y2019,B73xMo17,NA
HAV_5343,121663,HAV_5343_S53_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep3,JYA,1410,Y2019,B73xMo17,NA
HAV_5344,105562,HAV_5344_S61_R1_001.fastq.gz,CML261,+N,N,sp3,spb1,rep1,LOU,1411,Y2019,Ames 27091,ts
HAV_5345,91257,HAV_5345_S2_R1_001.fastq.gz,CML261,+N,N,sp3,spb1,rep2,LOU,1411,Y2019,Ames 27091,ts
HAV_5346,106028,HAV_5346_S11_R1_001.fastq.gz,CML261,+N,N,sp3,spb1,rep3,MAM,1411,Y2019,Ames 27091,ts
HAV_5347,90186,HAV_5347_S20_R1_001.fastq.gz,4722,+N,N,sp3,spb1,rep1,LOU,1413,Y2019,PI 587130,popcorn
HAV_5348,99888,HAV_5348_S6_R1_001.fastq.gz,4722,+N,N,sp3,spb1,rep2,LOU,1413,Y2019,PI 587130,popcorn
HAV_5349,103451,HAV_5349_S7_R1_001.fastq.gz,4722,+N,N,sp3,spb1,rep3,JYA,1413,Y2019,PI 587130,popcorn
HAV_5350,92398,HAV_5350_S46_R1_001.fastq.gz,M162W,+N,N,sp3,spb2,rep1,ELA,1416,Y2019,Ames 27134,nss
HAV_5351,105741,HAV_5351_S54_R1_001.fastq.gz,M162W,+N,N,sp3,spb2,rep2,ELA,1416,Y2019,Ames 27134,nss
HAV_5352,95599,HAV_5352_S62_R1_001.fastq.gz,M162W,+N,N,sp3,spb2,rep3,JYA,1416,Y2019,Ames 27134,nss
HAV_5353,120427,HAV_5353_S3_R1_001.fastq.gz,M37W,+N,N,sp3,spb2,rep1,ELA,1417,Y2019,Ames 27133,mixed
HAV_5354,135551,HAV_5354_S12_R1_001.fastq.gz,M37W,+N,N,sp3,spb2,rep2,ELA,1417,Y2019,Ames 27133,mixed
HAV_5355,141391,HAV_5355_S21_R1_001.fastq.gz,M37W,+N,N,sp3,spb2,rep3,JYA,1417,Y2019,Ames 27133,mixed
HAV_5356,98470,HAV_5356_S30_R1_001.fastq.gz,NC318,+N,N,sp3,spb2,rep1,ELA,1420,Y2019,Ames 27155,ts
HAV_5357,112845,HAV_5357_S39_R1_001.fastq.gz,NC318,+N,N,sp3,spb2,rep2,ELA,1420,Y2019,Ames 27155,ts
HAV_5358,124589,HAV_5358_S47_R1_001.fastq.gz,NC318,+N,N,sp3,spb2,rep3,JYA,1420,Y2019,Ames 27155,ts
HAV_5359,145816,HAV_5359_S55_R1_001.fastq.gz,GA209,+N,N,sp3,spb2,rep1,ELA,1422,Y2019,Ames 10248,nss
HAV_5360,132167,HAV_5360_S63_R1_001.fastq.gz,GA209,+N,N,sp3,spb2,rep2,ELA,1422,Y2019,Ames 10248,nss
HAV_5361,90645,HAV_5361_S4_R1_001.fastq.gz,GA209,+N,N,sp3,spb2,rep3,JYA,1422,Y2019,Ames 10248,nss
HAV_5362,117895,HAV_5362_S13_R1_001.fastq.gz,CML69,+N,N,sp3,spb2,rep1,MAC,1423,Y2019,Ames 28184,ts
HAV_5363,130488,HAV_5363_S22_R1_001.fastq.gz,CML69,+N,N,sp3,spb2,rep2,MAC,1423,Y2019,Ames 28184,ts
HAV_5364,150328,HAV_5364_S8_R1_001.fastq.gz,CML69,+N,N,sp3,spb2,rep3,JYA,1423,Y2019,Ames 28184,ts
HAV_5365,85652,HAV_5365_S9_R1_001.fastq.gz,NC258,+N,N,sp3,spb2,rep1,MAC,1425,Y2019,PI 531084,nss
HAV_5366,123169,HAV_5366_S48_R1_001.fastq.gz,NC258,+N,N,sp3,spb2,rep2,MAC,1425,Y2019,PI 531084,nss
HAV_5367,100745,HAV_5367_S56_R1_001.fastq.gz,NC258,+N,N,sp3,spb2,rep3,JYA,1425,Y2019,PI 531084,nss
HAV_5368,124592,HAV_5368_S64_R1_001.fastq.gz,F44,+N,N,sp3,spb2,rep1,MAC,1427,Y2019,NSL 22893,mixed
HAV_5369,124303,HAV_5369_S5_R1_001.fastq.gz,F44,+N,N,sp3,spb2,rep2,MAC,1427,Y2019,NSL 22893,mixed
HAV_5370,153460,HAV_5370_S14_R1_001.fastq.gz,F44,+N,N,sp3,spb2,rep3,JYA,1427,Y2019,NSL 22893,mixed
HAV_5371,151797,HAV_5371_S23_R1_001.fastq.gz,SC55,+N,N,sp3,spb3,rep1,MAC,1430,Y2019,Ames 27189,mixed
HAV_5372,89307,HAV_5372_S32_R1_001.fastq.gz,SC55,+N,N,sp3,spb3,rep2,MAC,1430,Y2019,Ames 27189,mixed
HAV_5373,100437,HAV_5373_S41_R1_001.fastq.gz,SC55,+N,N,sp3,spb3,rep3,JYA,1430,Y2019,Ames 27189,mixed
HAV_5374,128661,HAV_5374_S49_R1_001.fastq.gz,F2,+N,N,sp3,spb3,rep1,RAM,1431,Y2019,PI 257506,mixed
HAV_5375,134569,HAV_5375_S57_R1_001.fastq.gz,F2,+N,N,sp3,spb3,rep2,RAM,1431,Y2019,PI 257506,mixed
HAV_5376,125854,HAV_5376_S65_R1_001.fastq.gz,F2,+N,N,sp3,spb3,rep3,JYA,1431,Y2019,PI 257506,mixed
HAV_5377,79993,HAV_5377_S6_R1_001.fastq.gz,IL101,+N,N,sp3,spb3,rep1,RAM,1433,Y2019,Ames 27119,sweet
HAV_5378,100517,HAV_5378_S15_R1_001.fastq.gz,IL101,+N,N,sp3,spb3,rep2,RAM,1433,Y2019,Ames 27119,sweet
HAV_5379,142646,HAV_5379_S24_R1_001.fastq.gz,IL101,+N,N,sp3,spb3,rep3,JYA,1433,Y2019,Ames 27119,sweet
HAV_5380,72550,HAV_5380_S10_R1_001.fastq.gz,DE2,+N,N,sp3,spb3,rep1,RAM,1435,Y2019,PI 606330,nss
HAV_5381,90037,HAV_5381_S42_R1_001.fastq.gz,DE2,+N,N,sp3,spb3,rep2,RAM,1435,Y2019,PI 606330,nss
HAV_5382,118324,HAV_5382_S50_R1_001.fastq.gz,DE2,+N,N,sp3,spb3,rep3,JYA,1435,Y2019,PI 606330,nss
HAV_5383,104823,HAV_5383_S58_R1_001.fastq.gz,TX601,+N,N,sp3,spb3,rep1,RAM,1437,Y2019,Ames 22763,ts
HAV_5384,109061,HAV_5384_S66_R1_001.fastq.gz,TX601,+N,N,sp3,spb3,rep2,RAM,1437,Y2019,Ames 22763,ts
HAV_5385,92786,HAV_5385_S7_R1_001.fastq.gz,TX601,+N,N,sp3,spb3,rep3,JYA,1437,Y2019,Ames 22763,ts
HAV_5386,100821,HAV_5386_S16_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep1,TAS,1440,Y2019,B73xMo17,NA
HAV_5387,97991,HAV_5387_S25_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep2,TAS,1440,Y2019,B73xMo17,NA
HAV_5388,121537,HAV_5388_S11_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep3,JYA,1440,Y2019,B73xMo17,NA
HAV_5389,70098,HAV_5389_S43_R1_001.fastq.gz,T232,+N,N,sp3,spb3,rep1,TAS,1441,Y2019,PI 550522,mixed
HAV_5390,93431,HAV_5390_S51_R1_001.fastq.gz,T232,+N,N,sp3,spb3,rep2,TAS,1441,Y2019,PI 550522,mixed
HAV_5391,103747,HAV_5391_S59_R1_001.fastq.gz,T232,+N,N,sp3,spb3,rep3,JYA,1441,Y2019,PI 550522,mixed
HAV_5392,102141,HAV_5392_S67_R1_001.fastq.gz,B97,+N,N,sp4,spb1,rep1,TAS,1443,Y2019,PI 564682,nss
HAV_5393,91215,HAV_5393_S8_R1_001.fastq.gz,B97,+N,N,sp4,spb1,rep2,TAS,1443,Y2019,PI 564682,nss
HAV_5394,125354,HAV_5394_S17_R1_001.fastq.gz,B97,+N,N,sp4,spb1,rep3,JYA,1443,Y2019,PI 564682,nss
HAV_5395,116133,HAV_5395_S26_R1_001.fastq.gz,B2,+N,N,sp4,spb1,rep1,TAS,1445,Y2019,Ames 26769,nss
HAV_5396,76789,HAV_5396_S35_R1_001.fastq.gz,B2,+N,N,sp4,spb1,rep2,TAS,1445,Y2019,Ames 26769,nss
HAV_5397,73532,HAV_5397_S44_R1_001.fastq.gz,B2,+N,N,sp4,spb1,rep3,ZKY,1445,Y2019,Ames 26769,nss
HAV_5398,108534,HAV_5398_S52_R1_001.fastq.gz,B77,+N,N,sp4,spb1,rep1,ISS,1447,Y2019,PI 608765,nss
HAV_5399,113979,HAV_5399_S60_R1_001.fastq.gz,B77,+N,N,sp4,spb1,rep2,ISS,1447,Y2019,PI 608765,nss
HAV_5400,94809,HAV_5400_S68_R1_001.fastq.gz,B77,+N,N,sp4,spb1,rep3,ZKY,1447,Y2019,PI 608765,nss
HAV_5401,91996,HAV_5401_S69_R1_001.fastq.gz,CI3A,+N,N,sp4,spb1,rep1,ISS,1450,Y2019,Ames 26116,nss
HAV_5402,129030,HAV_5402_S77_R1_001.fastq.gz,CI3A,+N,N,sp4,spb1,rep2,ISS,1450,Y2019,Ames 26116,nss
HAV_5403,117526,HAV_5403_S85_R1_001.fastq.gz,CI3A,+N,N,sp4,spb1,rep3,ZKY,1450,Y2019,Ames 26116,nss
HAV_5404,75391,HAV_5404_S93_R1_001.fastq.gz,B37,+N,N,sp4,spb1,rep1,ISS,1451,Y2019,PI 550467,ss
HAV_5405,88922,HAV_5405_S101_R1_001.fastq.gz,B37,+N,N,sp4,spb1,rep2,ISS,1451,Y2019,PI 550467,ss
HAV_5406,111556,HAV_5406_S109_R1_001.fastq.gz,B37,+N,N,sp4,spb1,rep3,ZKY,1451,Y2019,PI 550467,ss
HAV_5407,115553,HAV_5407_S117_R1_001.fastq.gz,CI64,+N,N,sp4,spb1,rep1,ISS,1453,Y2019,Ames 19314,nss
HAV_5408,105280,HAV_5408_S125_R1_001.fastq.gz,CI64,+N,N,sp4,spb1,rep2,ISS,1453,Y2019,Ames 19314,nss
HAV_5409,132447,HAV_5409_S70_R1_001.fastq.gz,CI64,+N,N,sp4,spb1,rep3,ZKY,1453,Y2019,Ames 19314,nss
HAV_5410,144380,HAV_5410_S78_R1_001.fastq.gz,B109,+N,N,sp4,spb1,rep1,KIS,1455,Y2019,PI 597927,ss
HAV_5411,148798,HAV_5411_S86_R1_001.fastq.gz,B109,+N,N,sp4,spb1,rep2,KIS,1455,Y2019,PI 597927,ss
HAV_5412,93959,HAV_5412_S94_R1_001.fastq.gz,B109,+N,N,sp4,spb1,rep3,ZKY,1455,Y2019,PI 597927,ss
HAV_5413,78394,HAV_5413_S102_R1_001.fastq.gz,NC342,+N,N,sp4,spb2,rep1,KIS,1457,Y2019,Ames 27167,nss
HAV_5414,133271,HAV_5414_S110_R1_001.fastq.gz,NC342,+N,N,sp4,spb2,rep2,KIS,1457,Y2019,Ames 27167,nss
HAV_5415,112517,HAV_5415_S118_R1_001.fastq.gz,NC342,+N,N,sp4,spb2,rep3,ZKY,1457,Y2019,Ames 27167,nss
HAV_5416,110014,HAV_5416_S126_R1_001.fastq.gz,L317,+N,N,sp4,spb2,rep1,KIS,1459,Y2019,NSL 65873,nss
HAV_5417,131483,HAV_5417_S79_R1_001.fastq.gz,L317,+N,N,sp4,spb2,rep2,KIS,1459,Y2019,NSL 65873,nss
HAV_5418,134805,HAV_5418_S87_R1_001.fastq.gz,L317,+N,N,sp4,spb2,rep3,ZKY,1459,Y2019,NSL 65873,nss
HAV_5419,78221,HAV_5419_S95_R1_001.fastq.gz,MO44,+N,N,sp4,spb2,rep1,KIS,1461,Y2019,Ames 28939,nss
HAV_5420,107161,HAV_5420_S71_R1_001.fastq.gz,MO44,+N,N,sp4,spb2,rep2,KIS,1461,Y2019,Ames 28939,nss
