Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_2317,103515,HAV_2317_S49_R1_001.fastq.gz,OH43,+N,N,sp2,spb3,rep1,NF,1287,Y2018,Ames 19288,nss
HAV_2318,105839,HAV_2318_S57_R1_001.fastq.gz,OH43,+N,N,sp2,spb3,rep2,ALB,1288,Y2018,Ames 19288,nss
HAV_2319,117715,HAV_2319_S2_R1_001.fastq.gz,B73,+N,N,sp3,spb1,rep1,NF,1305,Y2018,PI 550473,ss
HAV_2320,100089,HAV_2320_S10_R1_001.fastq.gz,B73,+N,N,sp3,spb1,rep2,NF,1306,Y2018,PI 550473,ss
HAV_2321,90233,HAV_2321_S18_R1_001.fastq.gz,CML103,+N,N,sp3,spb2,rep1,ALB,1327,Y2018,Ames 27081,ts
HAV_2322,103679,HAV_2322_S26_R1_001.fastq.gz,CML103,+N,N,sp3,spb2,rep2,ALB,1328,Y2018,Ames 27081,ts
HAV_2323,111014,HAV_2323_S34_R1_001.fastq.gz,CHECK2,+N,N,sp3,spb2,rep1,ALB,1332,Y2018,B37xMo17,NA
HAV_2324,47730,HAV_2324_S42_R1_001.fastq.gz,CHECK,+N,N,sp3,spb3,rep1,ALB,1335,Y2018,B73xMo17,NA
HAV_2325,97336,HAV_2325_S50_R1_001.fastq.gz,CHECK2,+N,N,sp3,spb3,rep1,NF,1341,Y2018,B37xMo17,NA
HAV_2326,116271,HAV_2326_S58_R1_001.fastq.gz,CHECK,+N,N,sp4,spb1,rep1,NF,1364,Y2018,B73xMo17,NA
HAV_2327,117536,HAV_2327_S3_R1_001.fastq.gz,NC350,+N,N,sp4,spb2,rep1,ALB,1369,Y2018,Ames 27171,ts
HAV_2328,123990,HAV_2328_S11_R1_001.fastq.gz,NC350,+N,N,sp4,spb2,rep2,ALB,1370,Y2018,Ames 27171,ts
HAV_2329,106048,HAV_2329_S19_R1_001.fastq.gz,CHECK2,+N,N,sp4,spb2,rep1,NF,1372,Y2018,B37xMo17,NA
HAV_2330,142239,HAV_2330_S27_R1_001.fastq.gz,VA102,+N,N,sp4,spb3,rep1,ALB,1383,Y2018,PI 587151,nss
HAV_2331,160231,HAV_2331_S35_R1_001.fastq.gz,VA102,+N,N,sp4,spb3,rep2,ALB,1384,Y2018,PI 587151,nss
HAV_2332,73263,HAV_2332_S43_R1_001.fastq.gz,OH603,+N,N,sp4,spb3,rep1,ALB,1389,Y2018,PI 573098,mixed
HAV_2333,147453,HAV_2333_S51_R1_001.fastq.gz,OH603,+N,N,sp4,spb3,rep2,ALB,1390,Y2018,PI 573098,mixed
HAV_2334,117370,HAV_2334_S59_R1_001.fastq.gz,CHECK2,+N,N,sp4,spb3,rep1,ALB,1395,Y2018,B37xMo17,NA
HAV_2335,100546,HAV_2335_S4_R1_001.fastq.gz,CHECK,+N,N,sp3,spb1,rep1,ALB,1403,Y2018,B73xMo17,NA
HAV_2336,94728,HAV_2336_S12_R1_001.fastq.gz,CHECK,+N,N,sp3,spb2,rep1,ALB,1423,Y2018,B73xMo17,NA
HAV_2337,74829,HAV_2337_S20_R1_001.fastq.gz,IL14H,+N,N,sp3,spb2,rep1,ALB,1425,Y2018,Ames 27118,sweet
HAV_2338,116228,HAV_2338_S28_R1_001.fastq.gz,IL14H,+N,N,sp3,spb2,rep2,ALB,1426,Y2018,Ames 27118,sweet
HAV_2339,126822,HAV_2339_S36_R1_001.fastq.gz,RTH3,+N,N,sp3,spb2,rep1,ALB,1427,Y2018,roothairless3,NA
HAV_2340,68469,HAV_2340_S44_R1_001.fastq.gz,RTH3,+N,N,sp3,spb2,rep2,ALB,1428,Y2018,roothairless3,NA
HAV_2341,101028,HAV_2341_S52_R1_001.fastq.gz,N28HT,+N,N,sp4,spb2,rep1,ALB,1475,Y2018,Ames 27138,mixed
HAV_2342,98801,HAV_2342_S60_R1_001.fastq.gz,N28HT,+N,N,sp4,spb2,rep2,ALB,1476,Y2018,Ames 27138,mixed
HAV_2343,114740,HAV_2343_S5_R1_001.fastq.gz,NC358,+N,N,sp4,spb3,rep1,ALB,1491,Y2018,Ames 27175,ts
HAV_2344,109685,HAV_2344_S13_R1_001.fastq.gz,NC358,+N,N,sp4,spb3,rep2,ALB,1492,Y2018,Ames 27175,ts
HAV_2345,76051,HAV_2345_S21_R1_001.fastq.gz,CHECK,+N,N,sp4,spb3,rep1,ALB,1496,Y2018,B73xMo17,NA
HAV_2346,118440,HAV_2346_S29_R1_001.fastq.gz,CHECK2,+N,N,sp3,spb1,rep1,ALB,1508,Y2018,B37xMo17,NA
HAV_2347,117973,HAV_2347_S37_R1_001.fastq.gz,B97,+N,N,sp3,spb1,rep1,ALB,1509,Y2018,PI 564682,nss
HAV_2348,75433,HAV_2348_S45_R1_001.fastq.gz,B97,+N,N,sp3,spb1,rep2,ALB,1510,Y2018,PI 564682,nss
HAV_2349,98348,HAV_2349_S53_R1_001.fastq.gz,M37W,+N,N,sp3,spb2,rep1,ALB,1527,Y2018,Ames 27133,mixed
